iter	Passed	Remaining
738	30694	8805
739	30735	8763
740	30769	8720
741	30804	8676
742	30868	8641
743	30917	8602
744	30966	8562
745	31020	8524
746	31071	8485
747	31116	8444
748	31154	8402
749	31190	8359
750	31224	8315
751	31276	8276
752	31329	8237
753	31366	8195
754	31400	8151
755	31434	8108
756	31477	8066
757	31518	8025
758	31552	7981
759	31584	7937
760	31617	7894
761	31661	7852
762	31701	7811
763	31785	7779
764	31825	7737
765	31868	7696
766	31919	7657
767	31989	7622
768	32047	7584
769	32089	7543
770	32120	7498
771	32153	7455
772	32189	7412
773	32236	7371
774	32296	7334
775	32355	7296
776	32401	7255
777	32438	7213
778	32484	7172
779	32528	7131
780	32572	7090
781	32607	7046
782	32639	7003
783	32697	6964
784	32759	6927
785	32794	6884
786	32827	6840
787	32861	6797
788	32914	6758
789	32963	6717
790	32995	6674
791	33032	6631
792	33075	6590
793	33116	6548
794	33158	6506
795	33196	6464
796	33236	6422
797	33270	6379
798	33311	6337
799	33350	6294
800	33389	6252
801	33426	6210
802	33461	6167
803	33499	6124
804	33531	6081
805	33564	6038
806	33597	5995
807	33631	5952
808	33674	5910
809	33710	5868
810	33746	5825
811	33780	5782
812	33808	5738
813	33842	5695
814	33878	5653
815	33923	5612
816	33964	5570
817	34001	5528
818	34040	5486
819	34084	5445
820	34129	5404
821	34218	5370
822	34248	5326
823	34279	5283
824	34310	5240
825	34351	5198
826	34387	5156
827	34418	5112
828	34456	5070
829	34491	5028
830	34529	4986
831	34571	4944
832	34612	4903
833	34655	4861
834	34688	4819
835	34721	4776
836	34755	4733
837	34804	4693
838	34899	4658
839	35000	4625
840	35030	4581
841	35061	4538
842	35095	4496
843	35135	4454
844	35165	4411
845	35204	4369
846	35237	4326
847	35296	4287
848	35357	4247
849	35400	4206
850	35441	4164
851	35474	4122
852	35518	4080
853	35567	4039
854	35601	3997
855	35630	3954
856	35658	3911
857	35692	3868
858	35724	3826
859	35761	3784
860	35793	3741
861	35825	3698
862	35860	3656
863	35889	3613
864	35919	3571
865	35951	3528
866	36009	3488
867	36056	3447
868	36101	3406
869	36132	3364
870	36176	3322
871	36208	3280
872	36238	3237
873	36270	3195
874	36329	3155
875	36372	3114
876	36397	3071
877	36428	3028
878	36456	2986
879	36487	2943
880	36518	2901
881	36553	2859
882	36592	2817
883	36624	2775
884	36664	2734
885	36695	2692
886	36732	2650
887	36768	2608
888	36804	2566
889	36870	2527
890	36907	2485
891	36953	2444
892	36996	2402
893	37033	2361
894	37088	2320
895	37138	2279
896	37191	2238
897	37240	2197
898	37286	2156
899	37330	2115
900	37371	2073
901	37425	2033
902	37473	1991
903	37512	1950
904	37544	1908
905	37580	1866
906	37621	1825
907	37654	1783
908	37692	1741
909	37721	1699
910	37760	1657
911	37803	1616
912	37844	1575
913	37877	1533
914	37914	1491
915	37951	1450
916	37992	1408
917	38024	1366
918	38058	1325
919	38092	1283
920	38124	1241
921	38158	1200
922	38195	1158
923	38230	1117
924	38264	1075
925	38298	1033
926	38334	992
927	38367	950
928	38403	909
929	38467	868
930	38532	827
931	38564	786
932	38604	744
933	38637	703
934	38675	661
935	38718	620
936	38772	579
937	38806	537
938	38836	496
939	38871	454
940	38904	413
941	38942	372
942	38980	330
943	39060	289
944	39106	248
945	39148	206
946	39178	165
947	39229	124
948	39283	82
949	39319	41
950	39397	0
